# Size conversion for Women's Shoes. 
# Format: size europe us uk japan. ? for blank
# www.overstock.com/guides/international-clothing-sizing-buying-guide
? EU US UK JP
? 35 5 2.5 21
? 35.5 5.5 3 21.5
? 36 6 3.5 22
? 37 6.5 4 22.5
? 37.5 7 4.5 23
? 38 7.5 5 23.5
? 38.5 8 5.5 24
? 39 8.5 6 24.5
? 40 9 6.5 25
? 41 9.5 7 25.5
? 42 10 7.5 26
? 42.5 10.5 8 27
? 43 11 8.5 27
? 43.5 11.5 9 27.5
? 44 12 9.5 28
#
# TODO www.sizeguide.net/shoe-sizes.html
#      for Australia and China sizes
